Dia;Mes;Ano;DsTpVeiculo;DsModelo;DsAnoFabricacao;VlCusto;km_rodado;VlCapacVeic;NrAuxiliares;%CapacidadeCarre;%CapacidadeEntr;%Entregas;%VolumesEntr;%PesoEntr;%FreteCobrado;FreteEx;Lucro;%Lucro
2;1;2018;Caminhão 3/4;MBB/ACCELO 815;2014;NULL;56;4000;2;52.80;52.80;100.00;100.00;100.00;100.00;1392.78;NULL;0.00
2;1;2018;Caminhão 3/4;MBB/ACCELO 815;2014;NULL;221;4000;1;13.35;10.98;81.82;82.05;82.21;82.15;501.25;NULL;0.00
2;1;2018;Camionete;FORD / CARGO 712;2010;NULL;200;4000;1;34.58;34.58;100.00;100.00;100.00;100.00;832.31;NULL;0.00
2;1;2018;Camionete;FORD / CARGO 712;2010;1236,8172;200;4000;1;34.58;34.58;100.00;100.00;100.00;100.00;832.31;-404,5072;-48.60
2;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;99;4000;1;29.75;29.75;100.00;100.00;100.00;100.00;564.41;-893,3242;-158.28
3;1;2018;Caminhão 3/4;MBB/ACCELO 815;2012;407,6406;278;4000;1;21.00;9.33;47.06;41.27;44.40;45.81;554.34;146,6994;26.46
3;1;2018;Caminhão 3/4;MBB/ACCELO 815;2012;599,0794;278;4000;1;21.00;9.33;47.06;41.27;44.40;45.81;554.34;-44,7394;-8.07
3;1;2018;Caminhão 3/4;MBB/ACCELO 815;2012;868,0088;278;4000;1;21.00;9.33;47.06;41.27;44.40;45.81;554.34;-313,6688;-56.58
4;1;2018;Caminhão 3/4;MBB/ACCELO 815;2012;NULL;117;4000;1;16.63;13.83;78.57;86.21;83.16;81.19;580.18;NULL;0.00
4;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;97;4000;1;85.33;85.33;100.00;100.00;100.00;100.00;1808.39;350,6558;19.39
4;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;364;4000;1;36.58;36.58;100.00;100.00;100.00;100.00;637.56;-820,1742;-128.64
4;1;2018;Camionete;FORD / CARGO 712;2010;2685,376;97;4000;1;85.33;85.33;100.00;100.00;100.00;100.00;1808.39;-876,986;-48.50
5;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;50;4000;1;97.75;93.80;66.67;99.27;95.96;93.25;2430.81;973,0758;40.03
5;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;239;4000;1;50.53;50.53;100.00;100.00;100.00;100.00;856.09;-601,6442;-70.28
8;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;230;4000;1;79.68;79.68;100.00;100.00;100.00;100.00;988.74;-468,9942;-47.43
8;1;2018;Camionete;MBB/710;2009;NULL;192;4500;1;17.02;17.02;100.00;100.00;100.00;100.00;769.81;NULL;0.00
9;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;200;4000;1;38.43;38.43;100.00;100.00;100.00;100.00;1057.60;-400,1342;-37.83
9;1;2018;Camionete;MBB/710;2009;NULL;181;4500;1;38.09;38.09;100.00;100.00;100.00;100.00;1462.00;NULL;0.00
10;1;2018;Camionete;FORD / CARGO 712;2010;NULL;241;4000;1;28.85;28.85;100.00;100.00;100.00;100.00;578.83;NULL;0.00
10;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;172;4000;1;31.28;7.38;37.50;28.00;23.58;30.38;400.02;-1057,7142;-264.42
10;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;304;4000;1;97.98;97.98;100.00;100.00;100.00;100.00;2070.24;612,5058;29.59
10;1;2018;Camionete;FORD / CARGO 712;2010;1650,1204;172;4000;1;31.28;7.38;37.50;28.00;23.58;30.38;400.02;-1250,1004;-312.51
11;1;2018;Camionete;FORD / CARGO 712;2010;NULL;239;4000;1;32.65;22.83;40.00;74.42;69.91;49.02;473.98;NULL;0.00
11;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;116;4000;1;7.43;4.70;87.50;93.33;63.30;79.38;379.73;-1078,0042;-283.89
11;1;2018;Camionete;FORD / CARGO 712;2010;2685,376;116;4000;1;7.43;4.70;87.50;93.33;63.30;79.38;379.73;-2305,646;-607.18
12;1;2018;Camionete;FORD / CARGO 712;2010;NULL;428;4000;1;35.28;35.28;100.00;100.00;100.00;100.00;719.24;NULL;0.00
12;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;232;4000;1;60.05;60.05;100.00;100.00;100.00;100.00;1145.52;-312,2142;-27.26
12;1;2018;Camionete;MBB/710;2009;NULL;90;4500;1;10.07;10.07;100.00;100.00;100.00;100.00;566.67;NULL;0.00
15;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;164;4000;1;26.03;26.03;100.00;100.00;100.00;100.00;871.48;-586,2542;-67.27
15;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;180;4000;1;76.93;76.93;100.00;100.00;100.00;100.00;2799.66;1341,9258;47.93
15;1;2018;Camionete;VW/8.120;2000;1457,7342;62;4000;1;8.85;8.85;100.00;100.00;100.00;100.00;303.71;-1154,0242;-379.98
16;1;2018;Camionete;FORD / CARGO 712;2010;NULL;32;4000;1;38.40;38.40;100.00;100.00;100.00;100.00;960.13;NULL;0.00
17;1;2018;Camionete;FORD / CARGO 712;2010;NULL;394;4000;1;63.68;63.68;100.00;100.00;100.00;100.00;1276.14;NULL;0.00
17;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;144;4000;2;21.68;14.70;78.57;74.19;67.82;72.71;760.46;-697,2742;-91.69
17;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;504;4000;2;68.75;66.75;100.00;95.52;97.09;93.10;927.57;-530,1642;-57.16
17;1;2018;Camionete;VW/8.120;2000;1457,7342;100;4000;2;34.63;34.63;100.00;100.00;100.00;100.00;1130.14;-327,5942;-28.99
17;1;2018;VUC - HR;HYUNDAI / HR HDB;2011;NULL;63;1600;1;19.56;19.56;100.00;100.00;100.00;100.00;335.85;NULL;0.00
17;1;2018;VUC - HR;HYUNDAI / HR HDB;2011;NULL;127;1600;1;44.13;43.06;85.71;97.92;97.59;95.49;470.11;NULL;0.00
18;1;2018;Camionete;VW/8.120;2000;1457,7342;107;4000;1;31.05;28.18;80.00;97.70;90.74;86.05;835.29;-622,4442;-74.52
18;1;2018;Camionete;VW/8.120;2000;2685,376;107;4000;1;31.05;28.18;80.00;97.70;90.74;86.05;835.29;-1850,086;-221.49
19;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;281;4000;2;58.25;55.00;71.43;98.59;94.42;84.33;1270.37;-187,3642;-14.75
22;1;2018;Camionete;FORD / CARGO 712;2010;NULL;261;4000;1;32.38;30.90;87.50;99.59;95.44;90.05;1003.23;NULL;0.00
22;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;84;4000;1;72.43;70.93;90.91;99.64;97.93;96.60;1812.00;354,2658;19.55
22;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;110;4000;1;34.08;25.58;80.00;93.04;75.06;82.03;824.93;-632,8042;-76.71
23;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;309;4000;1;92.60;92.60;100.00;100.00;100.00;100.00;2683.86;1226,1258;45.69
23;1;2018;Camionete;FORD / CARGO 712;2010;1457,7342;397;4000;1;44.70;44.70;100.00;100.00;100.00;100.00;1161.63;-296,1042;-25.49
23;1;2018;Camionete;MBB/710;2009;NULL;113;4500;1;82.82;82.82;100.00;100.00;100.00;100.00;2386.13;NULL;0.00
