Resp;CLIENTE;dtcte;mescte;anocte;dtemissao;mesemissao;anoemissao;dtocor;mesocor;anoocor;dtbaixa;mesbaixa;anobaixa;diasemissao;diasresolucao;DsLocal;tp_ocor;Situacao;NrBo;dsocorrencia;VlCusto
NULL;16912134000119;19;8;2022;27;8;2022;27;8;2022;5;10;2022;0;39;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;7517;1. REF: 1620063. TRAVESSA MAIO;18
1;1438784000288;18;1;2024;31;1;2024;31;1;2024;NULL;NULL;NULL;0;NULL;CAMINHAO TRANSFERENCIA;AVARIA;ABERTO;10278;PRATELEIRA EDITAVEL  PEDIDO: 6;55
1;46013447000104;1;6;2012;11;7;2012;11;6;2012;19;7;2012;-30;38;CAMINHAO COLETA/ENTREGA;FALTA;FECHADO;62;falta de 6 volumes , não citad;0
1;8742583000138;29;6;2012;9;7;2012;9;7;2012;26;7;2012;0;17;CAMINHAO COLETA/ENTREGA;FALTA;FECHADO;37;falta de 1 vol não especificad;0
1;2017451000167;4;7;2012;11;7;2012;NULL;NULL;NULL;2;8;2012;NULL;NULL;CAMINHAO COLETA/ENTREGA;AVARIA;FECHADO;64;avaria nf 565568 , avria de um;23
1;5429835000185;12;7;2012;18;7;2012;17;7;2012;2;8;2012;-1;16;CAMINHAO COLETA/ENTREGA;AVARIA;FECHADO;95;1 VOL AVARIADO DA NF 338991, R;207
1;349443000192;17;7;2012;24;7;2012;24;7;2012;2;8;2012;0;9;DESCARREGAMENTO;FALTA;FECHADO;283;falta na descarga    01 vol 4/;488
1;90441460000148;18;5;2012;6;7;2012;6;7;2012;6;8;2012;0;31;DESCARREGAMENTO;AVARIA;FECHADO;44;avaria no ato da descarga da c;27
1;2017451000167;28;7;2012;1;8;2012;1;8;2012;10;8;2012;0;9;CAMINHAO COLETA/ENTREGA;AVARIA;FECHADO;6;01 PUXADOR ALCA ONIX 128 MM AB;2
1;88174610000233;22;6;2012;14;7;2012;14;7;2012;13;8;2012;0;30;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;155;01 porta correr dna165722    ;181
1;87548814000143;20;7;2012;23;7;2012;23;7;2012;13;8;2012;0;21;CAMINHAO COLETA/ENTREGA;AVARIA;FECHADO;99;03 PORTAS 2336X360 BAM LAQ - R;613
1;62188487000135;4;7;2012;25;7;2012;10;7;2012;13;8;2012;-15;34;CAMINHAO COLETA/ENTREGA;AVARIA;FECHADO;116;01 avaria - porta - ref 977128;110
1;90441460000148;24;7;2012;7;8;2012;1;8;2012;13;8;2012;-6;12;CAMINHAO COLETA/ENTREGA;FALTA;FECHADO;130;FALTA DE 1 VOLUME , NÃO INFORM;0
1;62188487000135;31;7;2012;16;8;2012;16;8;2012;23;8;2012;0;7;CAMINHAO COLETA/ENTREGA;FALTA;FECHADO;159;  Na entrega feita ontem (08/0;22
1;11034891000466;8;8;2012;11;8;2012;11;8;2012;27;8;2012;0;16;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;549;nicho balcao c/tulha s/tpo 20c;32
1;4685922000130;25;6;2012;16;8;2012;16;8;2012;27;8;2012;0;11;CAMINHAO COLETA/ENTREGA;AVARIA;FECHADO;168;NF 632673 – CTRC 746289  01 có;18
1;12344344000105;11;7;2012;25;7;2012;17;7;2012;28;8;2012;-8;42;CAMINHAO COLETA/ENTREGA;FALTA;FECHADO;104;falta de 1 volume cm 1106;115
1;7110385000431;1;8;2012;7;8;2012;7;8;2012;28;8;2012;0;21;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;494;01 volume vista acabamento h22;45
1;7757565000167;15;8;2012;17;8;2012;17;8;2012;29;8;2012;0;12;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;633;gaveta madeira revest pet avul;37
1;8003316000149;20;8;2012;22;8;2012;22;8;2012;30;8;2012;0;8;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;701;01 volume regua cml h=54 25mm ;105
1;5299724000100;20;8;2012;22;8;2012;22;8;2012;30;8;2012;0;8;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;704;arm.modulo duplo gaveta/cabid ;10
1;13661965000258;24;8;2012;29;8;2012;29;8;2012;12;9;2012;0;14;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;827;01 volume qtd.1,200 n305070458;35
1;2906558000166;29;8;2012;3;9;2012;3;9;2012;12;9;2012;0;9;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;890;n1021120501 armario simples 50;15
1;11134563000199;24;8;2012;29;8;2012;29;8;2012;14;9;2012;0;16;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;817;arm.balcão simples s/tpo 30cm ;26
1;43979210000186;29;8;2012;1;9;2012;1;9;2012;14;9;2012;0;13;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;880;01 volume balcão simples s/tpo;32
1;10248602000116;29;8;2012;3;9;2012;3;9;2012;14;9;2012;0;11;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;885;01 volume 2305670 lateral bran;19
1;10248602000116;29;8;2012;3;9;2012;3;9;2012;14;9;2012;0;11;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;889;6109063 base branca 884x559 15;16
1;5431968000196;28;8;2012;4;9;2012;4;9;2012;17;9;2012;0;13;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;919;01 volume 3540303009 costa lin;8
1;5199770000129;10;9;2012;15;9;2012;15;9;2012;28;9;2012;0;13;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;1063;01 volume cama solteiro c/2 pe;51
1;14394392000125;19;9;2012;24;9;2012;24;9;2012;4;10;2012;0;10;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;1198;01 VOLUME REGUA MOLDURA CML H=;36
1;15119069000106;25;9;2012;3;10;2012;3;10;2012;19;10;2012;0;16;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;302;AVARIA NOTADA NA DESCARGA CARR;29
1;2017451000167;4;10;2012;10;10;2012;10;10;2012;22;10;2012;0;12;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;260;porta armário batida 414/429 (;19
1;10707843000186;8;10;2012;15;10;2012;15;10;2012;24;10;2012;0;9;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;1404;COSTA MDF BRANCO 2458X377X2,5M;15
1;9484404000172;29;9;2012;11;10;2012;5;10;2012;25;10;2012;-6;20;CAMINHAO TRANSFERENCIA;FALTA;FECHADO;13;vol 03 - ref. N 305059463, pra;23
1;12939373000101;9;10;2012;15;10;2012;15;10;2012;25;10;2012;0;10;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;1413;frente de gaveta aspen 697x326;22
1;4691623001008;15;10;2012;18;10;2012;18;10;2012;26;10;2012;0;8;NULL;AVARIA;FECHADO;1462;NF 34401 VOLUME AVARIADO ROUPE;215
1;43979210000186;15;10;2012;19;10;2012;19;10;2012;27;10;2012;0;8;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;1492;ESTRUTURA TEMPONAMENTO PARA GA;31
1;2932651000226;24;9;2012;2;10;2012;2;10;2012;31;10;2012;0;29;CAMINHAO TRANSFERENCIA;FALTA;FECHADO;249;NF 80.367, faltou 1 peça CD285;138
1;9643650000120;13;8;2012;25;10;2012;25;10;2012;6;11;2012;0;12;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;314;1porta paneleiro 302 ped. 2744;34
1;11005556000197;22;10;2012;26;10;2012;26;10;2012;9;11;2012;0;14;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;1589;BALCAO DUPLO 88 CM AVARIADA LA;16,1299
1;10429392000162;23;10;2012;6;11;2012;6;11;2012;14;11;2012;0;8;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;1744;01 volume regua moldura cml h=;9
1;8922399000170;29;10;2012;5;11;2012;5;11;2012;17;11;2012;0;12;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;1713;LATERAL MDF 660X328X15MM QTD 2;26
NULL;29934167000101;10;12;2021;14;1;2022;14;1;2022;30;3;2022;0;75;CAMINHAO COLETA/ENTREGA;AVARIA;FECHADO;6131;1. REF: 223309028. FRENTE 895X;340
1;19602710000110;4;3;2024;13;3;2024;13;3;2024;NULL;NULL;NULL;0;NULL;TERMINAL;AVARIA;ABERTO;7663;KIT ESPELHO 5P4G / CONVENIENTE;69
1;4203802000311;29;6;2012;18;7;2012;7;7;2012;2;8;2012;-11;26;CAMINHAO COLETA/ENTREGA;FALTA;FECHADO;91;1 vol lateral direita ref 8125;46
1;4910439000102;22;6;2012;17;7;2012;17;7;2012;6;8;2012;0;20;CAMINHAO COLETA/ENTREGA;AVARIA;FECHADO;77;01 LATERAL ETIQ 64 VOL 14 REFE;73,89
1;4910439000102;4;7;2012;17;7;2012;17;7;2012;6;8;2012;0;20;CAMINHAO COLETA/ENTREGA;AVARIA;FECHADO;84;01 PRATELEIRA ETIQ 252 VOL 03/;14
1;9051104000108;22;6;2012;14;7;2012;14;7;2012;13;8;2012;0;30;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;151;01 painel 605x44 dna 161129   ;181
1;87548814000143;20;7;2012;23;7;2012;23;7;2012;13;8;2012;0;21;CAMINHAO COLETA/ENTREGA;AVARIA;FECHADO;98;02 FRENTE DE GAVETA 329X996 BA;172
1;8003316000149;18;7;2012;25;7;2012;25;7;2012;13;8;2012;0;19;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;321;01 porta ref 8198760 vol 29/12;203
1;14126670000163;11;7;2012;25;7;2012;19;7;2012;21;8;2012;-6;33;CAMINHAO COLETA/ENTREGA;FALTA;FECHADO;103;FALTA DE 1 VOLUME NÃO ESPECIFI;65
1;5109552000156;31;7;2012;4;8;2012;4;8;2012;21;8;2012;0;17;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;453;01 volume cj 1 prateleira p/mo;35
1;90441460000148;2;8;2012;7;8;2012;7;8;2012;22;8;2012;0;15;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;491;01 volume 540301109 costa mdf ;28
1;12939373000101;9;8;2012;13;8;2012;13;8;2012;23;8;2012;0;10;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;559;01 volume 540101004 costa mdf ;5
1;4685922000130;22;5;2012;16;8;2012;16;8;2012;27;8;2012;0;11;CAMINHAO COLETA/ENTREGA;AVARIA;FECHADO;165;NF 602371 – CTRC 741756    2 v;300
1;12344344000105;18;7;2012;7;8;2012;27;7;2012;28;8;2012;-11;32;CAMINHAO COLETA/ENTREGA;FALTA;FECHADO;133;FALTA DE 3 VOLUMES, CM 1187  1;89
1;12637646000163;15;8;2012;23;8;2012;23;8;2012;5;9;2012;0;13;CAMINHAO COLETA/ENTREGA;AVARIA;FECHADO;717;  01 prta do armario ref 80256;12
1;4910731000125;20;8;2012;25;8;2012;25;8;2012;5;9;2012;0;11;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;752;01 volume n103072 prat.poliv l;37
1;11298911000163;22;8;2012;25;8;2012;25;8;2012;5;9;2012;0;11;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;755;01 volume 1401425 costa mdf c/;6
1;12939373000101;22;8;2012;25;8;2012;25;8;2012;5;9;2012;0;11;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;758;01 volume 730201002 lateral br;21
1;4685922000130;10;8;2012;27;8;2012;22;8;2012;5;9;2012;-5;14;CAMINHAO COLETA/ENTREGA;AVARIA;FECHADO;187;= CTRC 752250 =    NF 675751 C;42
1;43979210000186;22;8;2012;27;8;2012;27;8;2012;5;9;2012;0;9;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;764;armario duplo 60cm cil 8022403;11
1;4971865000156;22;8;2012;27;8;2012;27;8;2012;5;9;2012;0;9;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;777;01 volume divisor de talheres ;4
1;11005556000197;24;8;2012;29;8;2012;29;8;2012;14;9;2012;0;16;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;818;armario simples despensa 50cm ;26
1;9543413000197;28;8;2012;4;9;2012;4;9;2012;17;9;2012;0;13;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;925;2i136402 mod.inf.s/prat cx mdp;16
1;14608644000171;30;8;2012;5;9;2012;5;9;2012;19;9;2012;0;14;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;940;01 volume qtd.1,615 2d0905497 ;257
1;11367416000169;3;9;2012;8;9;2012;8;9;2012;21;9;2012;0;13;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;970;01 volume regua cml h=54 25mm ;48
1;10429392000162;6;9;2012;10;9;2012;10;9;2012;21;9;2012;0;11;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;982;01 volume porta mod.especial d;141
1;7521637000172;11;9;2012;15;9;2012;15;9;2012;28;9;2012;0;13;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;217;AVARIA NOTADA NA DESCARGA DA C;4
1;90441460000148;10;9;2012;15;9;2012;15;9;2012;28;9;2012;0;13;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;1061;01 volume 1401010 costa mdf s/;3
1;12840129000197;14;9;2012;18;9;2012;18;9;2012;1;10;2012;0;13;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;1102;01 volume 730303002 lateral br;19
1;12721508000168;14;9;2012;19;9;2012;19;9;2012;1;10;2012;0;12;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;1125;01 volume regua cml h=80 15mm ;54
1;13444632000196;19;9;2012;22;9;2012;22;9;2012;1;10;2012;0;9;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;1186;modulo duplo c/base h=241 90cm;50
1;77500049000308;13;9;2012;20;9;2012;20;9;2012;3;10;2012;0;13;CAMINHAO TRANSFERENCIA;FALTA;FECHADO;250;FALTA NOTADA NA DESCARGA DA CA;30
1;43979210000186;19;9;2012;27;9;2012;27;9;2012;9;10;2012;0;12;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;1247;arm.balcão canto s/tpo 72cm md;25
