Resp;CLIENTE;dtcte;mescte;anocte;dtemissao;mesemissao;anoemissao;dtocor;mesocor;anoocor;dtbaixa;mesbaixa;anobaixa;diasemissao;diasresolucao;DsLocal;tp_ocor;Situacao;NrBo;dsocorrencia;VlCusto
1;48400000000000;14;11;2023;23;11;2023;23;11;2023;NULL;NULL;NULL;0;NULL;CAMINHAO TRANSFERENCIA;FALTA;ABERTO;2391;LENCO DE GAVETA 645 X 80 X 15 ;15,74
1;1440000000000;23;10;2023;11;12;2023;11;12;2023;NULL;NULL;NULL;0;NULL;CAMINHAO TRANSFERENCIA;AVARIA;ABERTO;10028;COSTA 2,5MM  482#687#3#05-MDF ;21,94
1;77500000000000;14;12;2022;11;1;2023;11;1;2023;16;1;2023;0;5;CAMINHAO COLETA/ENTREGA;AVARIA;FECHADO;4882;Quantidade: 1 REF: 82835.2912.;864,91
1;36300000000000;31;10;2022;4;1;2023;4;1;2023;9;2;2023;0;36;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;8360;COD. 12000000[25052853] PORTA ;121,07
1;33700000000000;16;12;2022;20;1;2023;19;1;2023;13;2;2023;-1;25;CLIENTE PORTA A PORTA;AVARIA;FECHADO;1964;20.01.015.120.18.57 PORTA RETA;95,07
1;14500000000000;12;1;2023;23;1;2023;17;1;2023;13;2;2023;-6;27;CAMINHAO TRANSFERENCIA;FALTA;FECHADO;1966;680017263 PAINEL LINEARX358X25;12,31
1;29900000000000;13;1;2023;26;1;2023;26;1;2023;15;2;2023;0;20;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;8445;224032309 PAINEL ACAB LINEAR D;16,42
1;1790000000000;31;1;2023;1;3;2023;31;1;2023;1;3;2023;-29;29;TERMINAL;AVARIA;FECHADO;7394;Uma portinha vidro da cristale;63,99
1;85400000000000;7;2;2023;15;2;2023;7;2;2023;2;3;2023;-8;23;TERMINAL;FALTA;FECHADO;7390;0,3850 68001095  PAINEL LINEAR;28,33
1;7520000000000;18;1;2023;23;1;2023;23;1;2023;7;3;2023;0;43;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;4894;Quantidade: 2.7 REF: 680012263;318,82
1;9580000000000;15;12;2022;23;1;2023;23;1;2023;8;3;2023;0;44;CAMINHAO TRANSFERENCIA;FALTA;FECHADO;8426;PEDIDO 223257 - NF. 202764 - C;53,58
1;37200000000000;5;12;2022;23;1;2023;23;1;2023;8;3;2023;0;44;CAMINHAO TRANSFERENCIA;FALTA;FECHADO;8433;PEDIDO 218044 - NF. 201430 - B;171,14
1;9580000000000;20;1;2023;25;1;2023;24;1;2023;8;3;2023;-1;43;TERMINAL;AVARIA;FECHADO;7356;pedido 225470 fundo 640x680x5,;31,87
1;6210000000000;10;1;2023;1;2;2023;20;1;2023;8;3;2023;-12;47;CAMINHAO TRANSFERENCIA;FALTA;FECHADO;7370;01 Painel linear 60x15mm branc;12,42
1;74200000000000;30;1;2023;10;2;2023;10;2;2023;8;3;2023;0;26;CAMINHAO TRANSFERENCIA;FALTA;FECHADO;8526;COD. 68000495 PAINEL LINEARX35;54,56
1;34700000000000;18;1;2023;1;2;2023;26;1;2023;10;3;2023;-6;43;CAMINHAO TRANSFERENCIA;FALTA;FECHADO;1975;65003695 DIVISORIA 2592X520X15;128,46
1;1340000000000;25;11;2022;1;2;2023;20;12;2023;10;3;2023;322;-285;CLIENTE PORTA A PORTA;AVARIA;FECHADO;1976;800132746 PORTA 693X346X18 GRI;44,55
1;34700000000000;18;1;2023;2;2;2023;18;1;2023;10;3;2023;-15;51;CAMINHAO TRANSFERENCIA;FALTA;FECHADO;7372;65003695  DIVISORIA 2592X520X1;128,46
1;42700000000000;3;2;2023;6;2;2023;4;2;2023;10;3;2023;-2;34;TERMINAL;AVARIA;FECHADO;7380;700741 3D ITZ FTE GAVETS ESQUA;21,79
1;9810000000000;19;1;2023;15;2;2023;15;2;2023;17;3;2023;0;30;CAMINHAO TRANSFERENCIA;FALTA;FECHADO;8547;224052723 PAINEL ACAB LINEAR D;29,83
1;7520000000000;15;2;2023;2;3;2023;2;3;2023;20;3;2023;0;18;CAMINHAO TRANSFERENCIA;FALTA;FECHADO;4915;Quantidade: 1 REF: 60072595 BA;157,82
1;31100000000000;12;12;2022;18;1;2023;18;1;2023;24;3;2023;0;65;CAMINHAO TRANSFERENCIA;AVARIA;FECHADO;8406;COD. 981464263 PAINEL LINEAR E;82,23
